mid,time,radiant_team,dire_team,radiant_win
5506693810,2020-07-10 17:09:05,"78,120,39,7,106","35,99,21,10,83",False
5506693018,2020-07-10 17:07:44,"17,5,42,26,60","23,45,14,93,29",False
5506692400,2020-07-10 17:07:29,"96,1,5,7,23","36,51,114,6,31",False
5506689508,2020-07-10 17:04:24,"10,68,14,104,42","53,110,7,80,54",True
5506686610,2020-07-10 17:01:03,"44,3,61,7,104","39,1,9,43,64",True
5506686217,2020-07-10 17:00:44,"9,84,27,39,8","25,106,74,1,69",True
5506684410,2020-07-10 16:58:44,"62,92,26,21,67","17,18,102,2,22",True
5506683103,2020-07-10 16:56:43,"41,31,72,28,86","126,10,88,71,30",False
5506681515,2020-07-10 16:55:29,"68,11,104,41,121","60,42,111,26,17",True
5506681314,2020-07-10 16:55:13,"26,102,70,84,39","96,110,111,10,59",True
5506681001,2020-07-10 16:54:52,"110,93,2,58,126","65,69,87,70,10",True
5506680904,2020-07-10 16:54:38,"114,84,10,107,126","34,30,26,1,2",True
5506680219,2020-07-10 16:53:43,"9,67,64,38,79","42,10,104,22,68",True
5506679811,2020-07-10 16:53:27,"80,39,40,17,58","111,70,2,101,77",True
5506679611,2020-07-10 16:52:58,"92,10,14,26,126","65,42,74,120,58",True
5506678405,2020-07-10 16:51:37,"51,12,27,102,21","19,106,26,80,44",False
5506677917,2020-07-10 16:50:53,"45,89,119,14,35","112,30,10,19,38",False
5506677417,2020-07-10 16:50:48,"84,53,25,93,106","87,73,68,95,15",True
5506677214,2020-07-10 16:50:23,"126,110,98,14,80","7,10,30,36,114",False
5506677101,2020-07-10 16:50:22,"56,3,93,104,23","28,105,106,35,67",True
5506676212,2020-07-10 16:49:22,"69,39,65,1,51","86,119,70,25,84",False
5506676113,2020-07-10 16:49:18,"28,95,101,20,26","23,62,36,32,51",False
5506676017,2020-07-10 16:49:13,"53,76,106,93,31","104,50,9,10,67",False
5506675807,2020-07-10 16:48:57,"62,42,83,35,112","74,1,69,7,86",True
5506675400,2020-07-10 16:48:28,"93,9,26,47,96","88,36,86,69,1",True
5506675312,2020-07-10 16:48:22,"126,76,71,33,1","48,3,13,39,25",False
5506675218,2020-07-10 16:48:18,"108,109,100,9,51","39,41,36,60,84",False
5506675019,2020-07-10 16:47:37,"91,20,10,104,61","64,112,17,88,80",True
5506674414,2020-07-10 16:47:22,"15,74,75,7,6","51,64,2,97,109",True
5506673714,2020-07-10 16:46:33,"89,5,51,29,23","102,53,39,63,87",False
5506673407,2020-07-10 16:46:13,"41,50,45,129,27","54,40,62,111,74",True
5506673404,2020-07-10 16:46:13,"74,26,69,107,70","39,129,41,119,7",False
5506673400,2020-07-10 16:46:12,"41,86,39,48,120","68,80,14,47,84",True
5506672518,2020-07-10 16:45:04,"35,19,26,39,80","72,98,45,21,83",True
5506672217,2020-07-10 16:44:47,"98,18,50,63,17","106,90,53,14,89",True
5506672110,2020-07-10 16:44:42,"75,86,60,14,49","105,2,12,5,21",False
5506672009,2020-07-10 16:44:37,"7,13,47,68,1","23,45,83,44,39",True
5506672002,2020-07-10 16:44:31,"23,26,14,28,1","45,93,40,34,27",False
5506670405,2020-07-10 16:42:41,"100,42,13,38,111","106,6,37,126,21",False
5506670201,2020-07-10 16:42:28,"37,14,4,106,19","9,93,36,35,112",True
