match_id,radiant_win,radiant_team,dire_team,start_time,avg_mmr,num_mmr,game_mode,duration,dire_score,radiant_score
5530984036,False,"100,106,90,129,89","51,126,121,105,8",1595484081,6320,2,2,2975,47,36
5632702738,False,"110,129,51,10,45","128,41,9,38,91",1601196774,6040,8,2,1809,41,13
5508367067,True,"110,83,96,13,44","51,1,9,3,23",1594471961,6440,2,2,1941,5,22
5561274924,False,"96,128,90,106,113","110,28,6,100,56",1597051292,6020,9,2,1620,36,26
5526891148,False,"86,120,112,77,47","5,67,51,13,78",1595285017,6480,3,2,2364,42,26
5607749508,True,"5,95,7,69,23","110,129,102,41,74",1599709521,6480,8,2,1621,20,24
5593990275,False,"69,121,86,97,67","91,18,51,53,47",1598886634,6340,7,2,1592,18,8
5598810734,True,"110,95,20,43,16","5,15,129,19,67",1599187143,6400,4,2,2061,38,31
5581802923,True,"37,40,71,106,6","86,97,90,109,23",1598204529,6180,7,2,2895,15,29
5551685248,True,"51,110,107,86,12","19,126,30,8,38",1596527329,6080,0,2,2614,22,46
5518803919,True,"87,83,72,65,38","19,20,51,54,106",1594969955,6440,7,2,2915,41,33
5602634480,False,"110,47,87,109,16","97,21,7,53,18",1599397207,6260,9,2,2156,33,37
5501317658,False,"62,53,57,87,106","39,65,68,41,36",1594018974,6220,6,2,1944,46,26
5582860646,True,"19,109,83,106,28","86,96,121,74,67",1598274694,6440,5,2,1552,8,26
5590941120,False,"110,83,107,6,43","58,106,56,7,53",1598724165,6120,4,2,2231,28,23
5642606294,False,"88,114,84,65,29","4,86,51,12,19",1601811013,6120,7,2,2412,47,28
5494366669,True,"79,88,43,38,49","97,52,39,89,16",1593600485,6360,7,2,1533,24,22
5593280496,True,"23,85,98,84,42","5,53,51,11,10",1598850440,6160,9,2,1751,40,40
5564319353,False,"129,110,19,1,106","111,39,51,16,114",1597227351,6260,4,2,1850,38,11
5554919751,False,"69,121,51,54,28","110,129,86,32,94",1596711445,6160,7,2,2088,39,21
5638460837,True,"128,126,29,51,44","9,106,20,6,103",1601559081,6040,1,2,2589,23,37
5521611950,False,"107,128,53,22,16","110,129,51,109,39",1595074613,6200,7,2,2221,42,31
5574110489,True,"40,112,86,54,106","19,110,126,129,12",1597770245,6420,4,2,1933,26,34
5501552373,True,"56,84,16,79,25","129,110,90,12,98",1594034012,6320,3,2,1693,37,31
5499959645,True,"20,129,9,63,46","79,120,51,43,109",1593937617,6320,5,2,1474,2,25
5500317829,True,"110,106,90,23,1","63,31,67,39,28",1593954208,6140,2,2,1651,21,24
5626992793,False,"128,19,84,4,12","100,53,9,69,7",1600849773,6100,4,2,1934,32,13
5496982982,False,"110,107,53,1,120","64,126,39,128,109",1593767378,6440,3,2,2050,31,18
5581910087,True,"53,112,19,41,25","86,97,5,106,57",1598210162,6260,0,2,2536,22,34
5552680354,False,"87,100,67,55,10","97,86,64,54,65",1596571200,6420,6,2,1681,33,10
5588472572,False,"88,86,22,109,83","5,11,21,104,114",1598608853,6240,3,2,1656,43,32
5501372492,True,"39,7,3,89,108","88,111,126,109,52",1594022942,6080,1,2,2431,12,29
5624202606,True,"69,121,100,55,32","20,6,102,19,43",1600675029,6040,2,2,4152,23,47
5553531967,False,"20,104,86,95,17","41,64,103,45,120",1596630047,6280,9,2,3135,38,19
5591952698,True,"19,128,104,6,84","110,1,100,83,98",1598781752,6460,6,2,2059,18,33
5607776816,False,"69,19,18,84,39","64,100,28,11,56",1599711978,6140,4,2,1650,29,23
5628546021,False,"103,67,86,46,28","100,22,57,18,59",1600948963,6380,6,2,1821,19,18
