team_name,str_money,team_url
TPB,"$26,126",https://liquipedia.net/dota2/TPB
Imperial Pro Gaming,"$3,293",https://liquipedia.net/dota2/Imperial_Pro_Gaming
Family Team,"$4,040",https://liquipedia.net/dota2/Family_Team
FlyToMoon,"$331,661",https://liquipedia.net/dota2/FlyToMoon
Vikin.gg,"$116,909",https://liquipedia.net/dota2/Vikin.gg
Ninjas in Pyjamas,"$988,379",https://liquipedia.net/dota2/Ninjas_in_Pyjamas
Galaxy Racer,"$1,453",https://liquipedia.net/dota2/Galaxy_Racer
For The Dream,"$66,724",https://liquipedia.net/dota2/For_The_Dream
Eclipse,"$11,887",https://liquipedia.net/dota2/Eclipse_(team)
Neon Esports,"$175,302",https://liquipedia.net/dota2/Neon_Esports
Cignal Ultra,"$71,001",https://liquipedia.net/dota2/Cignal_Ultra
Execration,"$361,371",https://liquipedia.net/dota2/Execration
Reckoning Esports,"$12,401",https://liquipedia.net/dota2/Reckoning_Esports
Recast Gaming,"$11,842",https://liquipedia.net/dota2/Recast_Gaming
hehe united,"$7,733",https://liquipedia.net/dota2/Hehe_united
Abfahrt,$711,https://liquipedia.net/dota2/Abfahrt
Khan,"$21,890",https://liquipedia.net/dota2/Khan
B8,"$26,000",https://liquipedia.net/dota2/B8
Team Unique,"$49,626",https://liquipedia.net/dota2/Team_Unique
Team Empire,"$2,024,065",https://liquipedia.net/dota2/Team_Empire
HellRaisers,"$343,719",https://liquipedia.net/dota2/HellRaisers
BOOM Esports,"$308,205",https://liquipedia.net/dota2/BOOM_Esports
TNC Predator,"$4,496,944",https://liquipedia.net/dota2/TNC_Predator
Fnatic,"$4,121,911",https://liquipedia.net/dota2/Fnatic
496 Gaming,"$49,981",https://liquipedia.net/dota2/496_Gaming
Motivate.Trust Gaming,"$48,087",https://liquipedia.net/dota2/Motivate.Trust_Gaming
Quincy Crew,"$152,922",https://liquipedia.net/dota2/Quincy_Crew
4 Zoomers,"$33,500",https://liquipedia.net/dota2/4_Zoomers
CR4ZY,"$82,082",https://liquipedia.net/dota2/CR4ZY
Thunder Predator,"$129,997",https://liquipedia.net/dota2/Thunder_Predator
beastcoast,"$162,600",https://liquipedia.net/dota2/Beastcoast
Infamous,"$1,332,155",https://liquipedia.net/dota2/Infamous
Havan Liberty,"$1,125",https://liquipedia.net/dota2/Havan_Liberty
Infinity Esports,"$2,750",https://liquipedia.net/dota2/Infinity_Esports
PSG.LGD,"$16,067,296",https://liquipedia.net/dota2/PSG.LGD
EHOME,"$3,829,410",https://liquipedia.net/dota2/EHOME
Vici Gaming,"$8,812,269",https://liquipedia.net/dota2/Vici_Gaming
Royal Never Give Up,"$1,134,235",https://liquipedia.net/dota2/Royal_Never_Give_Up
Invictus Gaming,"$5,396,133",https://liquipedia.net/dota2/Invictus_Gaming
Team Aster,"$281,280",https://liquipedia.net/dota2/Team_Aster
Sparking Arrow Gaming,"$138,039",https://liquipedia.net/dota2/Sparking_Arrow_Gaming
OG,"$33,646,457",https://liquipedia.net/dota2/OG
Team Nigma,"$443,124",https://liquipedia.net/dota2/Team_Nigma
Alliance,"$4,794,808",https://liquipedia.net/dota2/Alliance
Team Liquid,"$22,764,558",https://liquipedia.net/dota2/Team_Liquid
VP.Prodigy,"$194,486",https://liquipedia.net/dota2/VP.Prodigy
Team Secret,"$11,452,237",https://liquipedia.net/dota2/Team_Secret
Natus Vincere,"$4,769,651",https://liquipedia.net/dota2/Natus_Vincere
